Clicks;Calls;Sites;Position;DayOfWeek;HasSocialAccounts;nom1;nom2;nom3;nom4;nom5;nom6
15;6;7;15;4;1;0;0;0;1;0;0
15;2;13;12;3;0;0;0;1;0;0;0
15;3;6;69;4;1;0;0;0;1;0;0
15;1;12;47;1;1;1;0;0;0;0;0
15;2;3;2;3;0;0;0;1;0;0;0
15;5;6;37;3;0;0;0;1;0;0;0
14;3;4;7;6;1;0;0;0;0;0;1
14;3;5;12;3;1;0;0;1;0;0;0
14;3;3;9;3;1;0;0;1;0;0;0
14;3;4;21;2;1;0;1;0;0;0;0
14;2;3;25;6;1;0;0;0;0;0;1
14;4;2;1;4;1;0;0;0;1;0;0
14;3;4;48;4;1;0;0;0;1;0;0
14;2;4;10;3;0;0;0;1;0;0;0
14;1;5;13;2;1;0;1;0;0;0;0
14;3;3;1;1;0;1;0;0;0;0;0
14;3;6;249;5;0;0;0;0;0;1;0
14;1;11;26;1;1;1;0;0;0;0;0
14;2;6;11;5;1;0;0;0;0;1;0
14;3;3;32;4;1;0;0;0;1;0;0
14;4;5;41;3;1;0;0;1;0;0;0
14;2;6;7;7;1;0;0;0;0;0;0
14;3;9;73;5;1;0;0;0;0;1;0
14;3;4;6;5;0;0;0;0;0;1;0
14;5;5;52;3;1;0;0;1;0;0;0
14;3;4;3;2;0;0;1;0;0;0;0
14;3;5;23;4;1;0;0;0;1;0;0
14;2;9;5;7;1;0;0;0;0;0;0
14;1;1;6;3;1;0;0;1;0;0;0
14;2;6;13;5;1;0;0;0;0;1;0
14;3;3;58;3;1;0;0;1;0;0;0
14;4;4;32;3;0;0;0;1;0;0;0
14;1;2;1;2;1;0;1;0;0;0;0
13;2;2;382;2;1;0;1;0;0;0;0
13;3;3;55;3;0;0;0;1;0;0;0
13;3;5;265;4;0;0;0;0;1;0;0
13;4;3;1;2;0;0;1;0;0;0;0
13;2;3;2;6;0;0;0;0;0;0;1
13;4;4;27;3;0;0;0;1;0;0;0
13;1;5;33;5;1;0;0;0;0;1;0
13;3;2;42;3;1;0;0;1;0;0;0
13;2;4;36;1;1;1;0;0;0;0;0
13;1;2;1;4;1;0;0;0;1;0;0
13;1;4;15;2;1;0;1;0;0;0;0
13;2;2;5;3;0;0;0;1;0;0;0
13;3;1;19;3;0;0;0;1;0;0;0
13;1;1;1;4;1;0;0;0;1;0;0
13;4;7;4;3;1;0;0;1;0;0;0
13;2;5;3;3;1;0;0;1;0;0;0
13;2;6;18;4;1;0;0;0;1;0;0
13;3;8;5;6;0;0;0;0;0;0;1
13;2;2;9;7;1;0;0;0;0;0;0
13;4;4;10;5;0;0;0;0;0;1;0
13;3;4;3;2;1;0;1;0;0;0;0
13;5;8;1;4;1;0;0;0;1;0;0
13;2;4;4;5;1;0;0;0;0;1;0
13;1;4;5;7;1;0;0;0;0;0;0
13;3;5;13;2;1;0;1;0;0;0;0
13;5;4;9;4;1;0;0;0;1;0;0
13;4;8;59;1;1;1;0;0;0;0;0
13;1;3;3;1;1;1;0;0;0;0;0
13;1;2;5;6;1;0;0;0;0;0;1
13;2;3;1;7;0;0;0;0;0;0;0
13;4;6;4;7;1;0;0;0;0;0;0
13;3;5;75;3;1;0;0;1;0;0;0
12;1;4;30;6;1;0;0;0;0;0;1
12;4;3;6;3;0;0;0;1;0;0;0
12;2;5;8;4;1;0;0;0;1;0;0
12;5;6;33;1;1;1;0;0;0;0;0
12;2;4;5;3;0;0;0;1;0;0;0
12;1;1;6;2;1;0;1;0;0;0;0
12;5;6;2;3;0;0;0;1;0;0;0
12;1;5;6;5;1;0;0;0;0;1;0
12;3;5;15;4;1;0;0;0;1;0;0
12;2;5;12;5;1;0;0;0;0;1;0
12;4;4;36;4;1;0;0;0;1;0;0
12;2;8;10;5;1;0;0;0;0;1;0
12;3;8;10;3;1;0;0;1;0;0;0
12;2;9;11;5;1;0;0;0;0;1;0
12;1;5;3;5;1;0;0;0;0;1;0
12;2;6;18;5;1;0;0;0;0;1;0
12;2;4;18;6;1;0;0;0;0;0;1
12;1;1;8;6;1;0;0;0;0;0;1
12;1;4;7;1;1;1;0;0;0;0;0
12;5;6;39;2;1;0;1;0;0;0;0
12;3;3;23;1;1;1;0;0;0;0;0
12;4;10;1;5;1;0;0;0;0;1;0
12;3;2;17;2;1;0;1;0;0;0;0
12;3;5;78;5;0;0;0;0;0;1;0
12;5;5;20;3;0;0;0;1;0;0;0
12;1;2;1;3;1;0;0;1;0;0;0
12;3;4;65;3;1;0;0;1;0;0;0
12;1;3;9;7;1;0;0;0;0;0;0
12;2;6;12;5;1;0;0;0;0;1;0
12;4;4;4;3;1;0;0;1;0;0;0
12;2;2;21;4;1;0;0;0;1;0;0
12;2;4;224;2;1;0;1;0;0;0;0
12;1;5;6;3;1;0;0;1;0;0;0
12;3;5;8;3;1;0;0;1;0;0;0
12;2;4;6;2;1;0;1;0;0;0;0
11;1;4;3;6;0;0;0;0;0;0;1
11;2;1;7;1;1;1;0;0;0;0;0
11;1;3;2;7;1;0;0;0;0;0;0
11;1;2;4;3;0;0;0;1;0;0;0
11;2;7;71;5;0;0;0;0;0;1;0
11;1;2;2;7;1;0;0;0;0;0;0
11;2;2;20;1;1;1;0;0;0;0;0
11;3;3;56;2;1;0;1;0;0;0;0
11;3;5;24;1;0;1;0;0;0;0;0
11;3;6;63;5;0;0;0;0;0;1;0
11;2;2;4;6;1;0;0;0;0;0;1
11;3;6;27;4;1;0;0;0;1;0;0
11;3;3;10;5;0;0;0;0;0;1;0
11;1;3;5;7;1;0;0;0;0;0;0
11;3;2;16;3;0;0;0;1;0;0;0
11;3;4;26;5;0;0;0;0;0;1;0
11;2;2;7;4;0;0;0;0;1;0;0
11;1;1;2;3;0;0;0;1;0;0;0
11;3;7;40;2;1;0;1;0;0;0;0
11;3;4;29;2;1;0;1;0;0;0;0
11;4;6;76;4;1;0;0;0;1;0;0
11;3;5;17;3;1;0;0;1;0;0;0
11;2;4;13;2;0;0;1;0;0;0;0
11;1;3;21;3;1;0;0;1;0;0;0
11;1;2;8;3;1;0;0;1;0;0;0
11;2;4;84;7;1;0;0;0;0;0;0
11;3;7;19;2;0;0;1;0;0;0;0
11;3;4;27;4;1;0;0;0;1;0;0
11;2;2;40;4;1;0;0;0;1;0;0
11;2;2;3;4;1;0;0;0;1;0;0
11;2;3;6;6;1;0;0;0;0;0;1
11;1;2;8;5;1;0;0;0;0;1;0
11;5;3;4;3;0;0;0;1;0;0;0
11;2;2;8;2;1;0;1;0;0;0;0
11;2;2;39;4;1;0;0;0;1;0;0
11;1;4;8;6;1;0;0;0;0;0;1
11;1;1;33;4;1;0;0;0;1;0;0
10;1;1;2;2;0;0;1;0;0;0;0
10;1;4;4;7;1;0;0;0;0;0;0
10;1;2;1;2;1;0;1;0;0;0;0
10;1;1;10;7;0;0;0;0;0;0;0
10;1;5;31;1;1;1;0;0;0;0;0
10;2;2;15;3;0;0;0;1;0;0;0
10;1;1;17;7;1;0;0;0;0;0;0
10;2;5;30;4;1;0;0;0;1;0;0
10;2;3;6;2;1;0;1;0;0;0;0
10;1;3;2;6;1;0;0;0;0;0;1
10;1;3;2;2;1;0;1;0;0;0;0
10;1;5;88;1;1;1;0;0;0;0;0
10;2;6;21;4;0;0;0;0;1;0;0
10;2;2;62;3;0;0;0;1;0;0;0
10;1;1;1;4;0;0;0;0;1;0;0
10;1;4;4;1;1;1;0;0;0;0;0
10;3;7;164;2;1;0;1;0;0;0;0
10;3;4;40;7;1;0;0;0;0;0;0
10;3;3;51;4;1;0;0;0;1;0;0
10;2;4;3;1;1;1;0;0;0;0;0
10;2;3;14;5;0;0;0;0;0;1;0
10;2;4;47;3;1;0;0;1;0;0;0
10;3;2;2;4;1;0;0;0;1;0;0
10;3;5;28;3;1;0;0;1;0;0;0
10;3;3;40;4;0;0;0;0;1;0;0
10;2;3;3;5;0;0;0;0;0;1;0
10;1;2;31;7;1;0;0;0;0;0;0
10;2;3;47;4;1;0;0;0;1;0;0
10;1;4;9;3;1;0;0;1;0;0;0
10;3;4;1;4;1;0;0;0;1;0;0
10;2;6;58;2;0;0;1;0;0;0;0
10;1;2;3;2;0;0;1;0;0;0;0
10;2;4;82;5;1;0;0;0;0;1;0
10;1;3;11;3;0;0;0;1;0;0;0
10;2;2;91;6;1;0;0;0;0;0;1
10;3;4;2;4;1;0;0;0;1;0;0
10;2;2;13;3;1;0;0;1;0;0;0
10;3;3;331;3;1;0;0;1;0;0;0
10;1;2;8;1;0;1;0;0;0;0;0
10;1;4;9;1;1;1;0;0;0;0;0
10;1;2;13;6;1;0;0;0;0;0;1
10;1;3;15;1;1;1;0;0;0;0;0
10;3;3;68;5;1;0;0;0;0;1;0
10;2;3;46;6;0;0;0;0;0;0;1
10;2;1;12;2;1;0;1;0;0;0;0
10;1;1;5;5;1;0;0;0;0;1;0
9;5;3;68;3;1;0;0;1;0;0;0
9;3;2;65;3;0;0;0;1;0;0;0
9;4;4;123;4;0;0;0;0;1;0;0
9;1;5;12;3;1;0;0;1;0;0;0
9;1;1;108;3;1;0;0;1;0;0;0
9;2;4;23;7;1;0;0;0;0;0;0
9;3;5;15;5;1;0;0;0;0;1;0
9;4;3;3;5;0;0;0;0;0;1;0
9;2;8;6;6;1;0;0;0;0;0;1
9;1;6;2;1;0;1;0;0;0;0;0
9;2;2;19;3;1;0;0;1;0;0;0
9;2;2;41;3;1;0;0;1;0;0;0
9;1;3;258;5;1;0;0;0;0;1;0
9;2;5;2;7;0;0;0;0;0;0;0
9;2;2;15;2;1;0;1;0;0;0;0
9;1;3;14;2;0;0;1;0;0;0;0
9;3;3;269;4;0;0;0;0;1;0;0
9;3;7;4;7;1;0;0;0;0;0;0
9;1;2;267;4;1;0;0;0;1;0;0
9;1;4;12;6;1;0;0;0;0;0;1
9;1;1;1;5;1;0;0;0;0;1;0
9;2;3;43;5;1;0;0;0;0;1;0
9;1;1;11;6;1;0;0;0;0;0;1
9;2;1;19;2;1;0;1;0;0;0;0
9;2;2;56;3;1;0;0;1;0;0;0
9;1;1;100;2;1;0;1;0;0;0;0
9;2;2;6;4;1;0;0;0;1;0;0
9;2;2;7;5;0;0;0;0;0;1;0
9;1;2;10;7;1;0;0;0;0;0;0
9;2;4;6;2;0;0;1;0;0;0;0
9;2;6;3;4;1;0;0;0;1;0;0
9;2;4;13;2;1;0;1;0;0;0;0
9;1;1;13;2;0;0;1;0;0;0;0
9;3;4;16;4;1;0;0;0;1;0;0
9;2;2;19;5;1;0;0;0;0;1;0
9;2;1;53;2;1;0;1;0;0;0;0
9;3;5;1;3;0;0;0;1;0;0;0
9;3;3;62;3;1;0;0;1;0;0;0
9;1;4;9;2;1;0;1;0;0;0;0
9;1;1;14;3;1;0;0;1;0;0;0
9;5;3;84;2;1;0;1;0;0;0;0
9;2;3;145;2;1;0;1;0;0;0;0
9;1;2;9;3;1;0;0;1;0;0;0
9;2;8;5;3;0;0;0;1;0;0;0
9;2;2;26;2;0;0;1;0;0;0;0
9;2;1;3;1;1;1;0;0;0;0;0
9;1;2;14;5;0;0;0;0;0;1;0
9;2;6;9;6;0;0;0;0;0;0;1
9;2;6;19;1;1;1;0;0;0;0;0
9;2;2;114;1;1;1;0;0;0;0;0
9;2;3;15;3;1;0;0;1;0;0;0
9;1;4;3;6;1;0;0;0;0;0;1
9;1;4;7;2;0;0;1;0;0;0;0
9;2;9;91;4;1;0;0;0;1;0;0
9;3;2;154;4;0;0;0;0;1;0;0
9;5;4;121;4;0;0;0;0;1;0;0
9;1;5;16;1;0;1;0;0;0;0;0
9;2;8;23;3;1;0;0;1;0;0;0
9;1;1;5;5;1;0;0;0;0;1;0
9;2;5;35;4;0;0;0;0;1;0;0
9;3;2;7;4;1;0;0;0;1;0;0
9;2;6;50;2;1;0;1;0;0;0;0
9;3;1;1;7;1;0;0;0;0;0;0
8;2;3;12;3;0;0;0;1;0;0;0
